global timestep: 589860, episodic_reward: [-0.3270053]
global timestep: 589904, episodic_reward: [-2.259526]
global timestep: 589996, episodic_reward: [-2.2674692]
global timestep: 590232, episodic_reward: [-2.2641132]
global timestep: 590264, episodic_reward: [-0.22094274]
global timestep: 590308, episodic_reward: [-0.1601514]
global timestep: 590692, episodic_reward: [-1.5673069]
global timestep: 591032, episodic_reward: [-0.84488773]
global timestep: 591236, episodic_reward: [-1.244184]
global timestep: 591300, episodic_reward: [-1.5268403]
global timestep: 591716, episodic_reward: [-1.8913891]
global timestep: 592012, episodic_reward: [-1.8372293]
global timestep: 592200, episodic_reward: [-1.295675]
global timestep: 592300, episodic_reward: [-0.5098992]
global timestep: 592456, episodic_reward: [-1.102922]
global timestep: 592504, episodic_reward: [-1.2082739]
global timestep: 592604, episodic_reward: [-0.4692132]
global timestep: 592900, episodic_reward: [-1.7316499]
global timestep: 593112, episodic_reward: [-1.7428852]
global timestep: 593400, episodic_reward: [-0.890852]
global timestep: 594200, episodic_reward: [-0.20976245]
global timestep: 594224, episodic_reward: [-1.4199681]
global timestep: 594588, episodic_reward: [0.10854232]
global timestep: 594776, episodic_reward: [-1.0184803]
global timestep: 594792, episodic_reward: [-0.9397442]
global timestep: 594956, episodic_reward: [0.17500722]
global timestep: 595032, episodic_reward: [-0.18907663]
global timestep: 595436, episodic_reward: [-2.3754134]
global timestep: 596012, episodic_reward: [-1.819061]
global timestep: 596200, episodic_reward: [-1.1113071]
global timestep: 596388, episodic_reward: [-0.85598105]
global timestep: 596688, episodic_reward: [-0.16689241]
global timestep: 597124, episodic_reward: [-1.0980405]
global timestep: 597464, episodic_reward: [0.1664663]
global timestep: 597472, episodic_reward: [-0.7732485]
global timestep: 597696, episodic_reward: [-1.7976044]
global timestep: 598100, episodic_reward: [-2.235815]
global timestep: 598200, episodic_reward: [0.4565494]
global timestep: 598492, episodic_reward: [-0.73148596]
global timestep: 598504, episodic_reward: [-2.0363278]
global timestep: 598536, episodic_reward: [2.329936]
global timestep: 598940, episodic_reward: [-2.0746007]
global timestep: 599164, episodic_reward: [-0.5946791]
global timestep: 599380, episodic_reward: [-0.5285445]
global timestep: 599484, episodic_reward: [-1.6327643]
global timestep: 600312, episodic_reward: [0.21197414]
global timestep: 600692, episodic_reward: [1.0796964]
global timestep: 600896, episodic_reward: [-1.2360628]
global timestep: 601100, episodic_reward: [-1.0604616]
global timestep: 601252, episodic_reward: [-1.53867]
global timestep: 601612, episodic_reward: [1.9708127]
global timestep: 601656, episodic_reward: [-0.29392555]
global timestep: 601864, episodic_reward: [-1.287072]
global timestep: 602016, episodic_reward: [-1.8286872]
global timestep: 602072, episodic_reward: [-1.6605389]
global timestep: 602220, episodic_reward: [-0.93569946]
global timestep: 602412, episodic_reward: [-1.1491009]
global timestep: 602484, episodic_reward: [1.1884366]
global timestep: 603024, episodic_reward: [-0.22693515]
global timestep: 603044, episodic_reward: [-1.195577]
global timestep: 603152, episodic_reward: [0.16160107]
global timestep: 603356, episodic_reward: [-1.0406773]
global timestep: 603508, episodic_reward: [-1.2529267]
global timestep: 603712, episodic_reward: [-0.9882474]
global timestep: 603948, episodic_reward: [-2.4134154]
global timestep: 604112, episodic_reward: [-0.40951037]
global timestep: 604160, episodic_reward: [-1.8717312]
global timestep: 604304, episodic_reward: [-0.81453454]
global timestep: 604364, episodic_reward: [-0.9467665]
global timestep: 604512, episodic_reward: [-1.594762]
global timestep: 604596, episodic_reward: [-1.0568924]
global timestep: 604720, episodic_reward: [-0.73638713]
global timestep: 604844, episodic_reward: [0.22057343]
global timestep: 604936, episodic_reward: [-1.8699812]
global timestep: 605136, episodic_reward: [-1.6782013]
global timestep: 605236, episodic_reward: [-1.7461684]
global timestep: 605296, episodic_reward: [-1.6298982]
global timestep: 605628, episodic_reward: [-2.1400297]
global timestep: 605652, episodic_reward: [-1.1817636]
global timestep: 605848, episodic_reward: [-2.0348244]
global timestep: 605956, episodic_reward: [-1.4066511]
global timestep: 605968, episodic_reward: [-0.32936478]
global timestep: 606372, episodic_reward: [-2.1276093]
global timestep: 606592, episodic_reward: [-1.3464445]
global timestep: 606784, episodic_reward: [-1.1559188]
global timestep: 606880, episodic_reward: [-2.1744921]
global timestep: 606884, episodic_reward: [-1.4017631]
global timestep: 607092, episodic_reward: [-0.69858956]
global timestep: 607132, episodic_reward: [-0.8568264]
global timestep: 607188, episodic_reward: [-1.7179701]
global timestep: 607332, episodic_reward: [-2.3351383]
global timestep: 607336, episodic_reward: [-1.3361847]
global timestep: 607364, episodic_reward: [-1.025113]
global timestep: 607404, episodic_reward: [-1.9235098]
global timestep: 607592, episodic_reward: [-2.302392]
global timestep: 607916, episodic_reward: [-1.0176097]
global timestep: 608004, episodic_reward: [-1.5715622]
global timestep: 608076, episodic_reward: [-1.0051588]
global timestep: 608320, episodic_reward: [-0.6669885]
global timestep: 608556, episodic_reward: [1.4189086]
global timestep: 608988, episodic_reward: [-2.039181]
global timestep: 609028, episodic_reward: [-1.5429167]
global timestep: 609040, episodic_reward: [-1.5231942]
global timestep: 609216, episodic_reward: [-2.1559622]
global timestep: 609252, episodic_reward: [-0.6575092]
global timestep: 609492, episodic_reward: [-2.0260394]
global timestep: 609680, episodic_reward: [-2.2066839]
global timestep: 609744, episodic_reward: [-1.9932735]
global timestep: 609968, episodic_reward: [-0.22320625]
global timestep: 610124, episodic_reward: [-1.9824849]
global timestep: 610292, episodic_reward: [-0.302776]
global timestep: 610496, episodic_reward: [-1.2530065]
