global timestep: 2443508, episodic_reward: [0.29174578]
global timestep: 2443716, episodic_reward: [-0.5101119]
global timestep: 2443856, episodic_reward: [-0.8715271]
global timestep: 2443992, episodic_reward: [0.06333977]
global timestep: 2444120, episodic_reward: [-0.44448006]
global timestep: 2444204, episodic_reward: [-0.5516291]
global timestep: 2444392, episodic_reward: [0.26781744]
global timestep: 2444696, episodic_reward: [-1.7439152]
global timestep: 2444796, episodic_reward: [-0.36990726]
global timestep: 2444804, episodic_reward: [-0.5823537]
global timestep: 2445180, episodic_reward: [-0.95885366]
global timestep: 2445216, episodic_reward: [-1.0279379]
global timestep: 2445532, episodic_reward: [0.11677301]
global timestep: 2445664, episodic_reward: [-0.86648786]
global timestep: 2446368, episodic_reward: [-1.3830736]
global timestep: 2446592, episodic_reward: [-1.3127165]
global timestep: 2446772, episodic_reward: [-2.156471]
global timestep: 2446864, episodic_reward: [-0.15714586]
global timestep: 2447176, episodic_reward: [-0.2941404]
global timestep: 2447436, episodic_reward: [-0.6664532]
global timestep: 2447520, episodic_reward: [-0.57750785]
global timestep: 2447712, episodic_reward: [-1.5972757]
global timestep: 2448212, episodic_reward: [1.2646058]
global timestep: 2448424, episodic_reward: [0.16200584]
global timestep: 2448700, episodic_reward: [-1.1290567]
global timestep: 2448844, episodic_reward: [1.169546]
global timestep: 2448924, episodic_reward: [1.4439178]
global timestep: 2449220, episodic_reward: [-1.0572292]
global timestep: 2450048, episodic_reward: [-0.18976963]
global timestep: 2450248, episodic_reward: [0.02952439]
global timestep: 2450716, episodic_reward: [-1.1657968]
global timestep: 2450744, episodic_reward: [-1.2308325]
global timestep: 2451368, episodic_reward: [-1.1809546]
global timestep: 2451520, episodic_reward: [1.4738501]
global timestep: 2452240, episodic_reward: [0.60076684]
global timestep: 2452316, episodic_reward: [2.2548802]
global timestep: 2452464, episodic_reward: [0.20817655]
global timestep: 2452588, episodic_reward: [-1.9192575]
global timestep: 2452948, episodic_reward: [-0.729858]
global timestep: 2452980, episodic_reward: [-1.0384529]
